­¶½X,¤º®e
8,Opinion by:  [**1]  BREWSTER
17,Opinion by:  [*1]  WYZANSKI
21,Opinion by:  [*1]  SWEENEY
24,Opinion by:  [*1]  SWEENEY
28,"Counsel:  [**1]  Malloy, Myerson & Sullivan, Boston, Mass., for plaintiff. Frank Goldman, Robert H. Goldman, 
Lowell, Mass., for defendant."
28,Opinion by: WYZANSKI
32,"Counsel:  [**1]  Noel E. Story and Hugh P. Morrison, Jr., Dept. of Justice, for plaintiff."
33,Opinion by: WYZANSKI
48,"Judges:  [**1]  Pettine, District Judge."
48,Opinion by: PETTINE
56,"Judges:  [**1]  Cancio, District Judge."
56,Opinion by: CANCIO
61,"Judges:  [**1]  Fernandez-Badillo, District Judge."
61,Opinion by: FERNANDEZ-BADILLO
68,"Judges:  [**1]  Caffrey, Chief Judge"
68,Opinion by: CAFFREY
77,"Judges:  [**1]   Day, District Judge."
77,Opinion by:  DAY
88,"Counsel:  [**1]  Donald B. Gould, Goodwin, Proctor & Hoar, Boston, Mass., for plaintiffs. 
James D. St. Clair, Robert W. Mahoney, Hale & Dorr, Boston, Mass., for defendants. 
James F. McHugh, John J. Curtin, Jr., Bingham, Dana & Gould, Boston, Mass., for Toyota Motor Sales, U.S.A., Inc."
88,Opinion by: GARRITY
104,"Counsel:  [**1]  Albert P. Zabin, Michael E. Mone, Joseph Schnieder, Boston, Mass., for Henry Bass, et al. 
William S. Monahan, Harrison, Maguire & Monahan, Boston, Mass., for Boston Five Cents Savings Bank. 
Albert P. Zabin, Michael E. Mone, Joseph Schneider, Boston, Mass., for Laurence Chait et al. 
Robert F. White, Sherburne, Powers & Needham, Boston, Mass., for Watertown Sav. Bank. 
Albert P. Zabin, Michael E. Mone, Joseph Schneider, Boston, Mass., for Herbert Feinstein et al. 
James J. Myers, Paul F. Hannah, Gadsby & Hannah, Boston, Mass., for Waltham Federal Sav. and Loan Ass'n. 
Albert P. Zabin, Michael E. Mone, Joseph Schneider, Boston, Mass., for Nathan Liskov et al. 
Henry E. Foley, David W. Walker, William J. Cheeseman, Foley, Hoag & Eliot, Boston, Mass., for Cambridgeport 
Sav. Bank. 
Thomas E. Connolly, Albert P. Zabin, Michael E. Mone, Joseph Schneider, Boston, Mass., for Henry Plotnick. 
Gael Mahony, Hill & Barlow, Boston, Mass., for Suffolk Franklin Sav. Bank. 
Michael E. Mone, Joseph Schneider, Boston, Mass., for Albert P. & Judith Zabin. 
Alfred P. Tropeano, Lexington, Mass., Robert D. Canty, Gaston, Snow & Ely, Boston, Mass., for Lexington Trust 
Co. 
Albert P. Zabin,  [**2]  Schneider, Reilly, Zabin, Connolly & Costello, P. C., Boston, Mass., for Anna Pandiscio. 
George L. Wainwright, Brockton, Mass., for Security Federal Sav. & Loan of Brockton. 
Bernard A. Dwork, Barron & Stadfeld, Boston, Mass., for Home Owners Federal Sav. & Loan Ass'n."
104,Opinion by: CAFFREY
111,"Counsel:  [**1]  Harold Brown, Brown, Prifti, Leighton & Cohen, Boston, Mass., for plaintiffs. 
John J. Curtin, Jr., Bingham, Dana & Gould, Boston, Mass., for defendant. 
John G. Fabiano, Hale & Dorr, Boston, Mass., for class representatives Hollis E. Whitney, Antonio Esposito, Gerald 
Berman, Leonard Safran."
111,Opinion by: FREEDMAN
119,"Counsel:  [**1]  Angelo M. Torrisi, New York City, Martin, Morse, Wylie & Kaplan, Gordon A. Martin, Boston, Mass., 
for plaintiff. 
Goodwin Procter & Hoar, Donald B. Gould, James E. McGuire, Boston, Mass., for Sigma Intruments, Inc. 
Mintz, Levin, Cohn, Glovsky & Popeo, Michael Gardener, Joseph C. Tanski, Boston, Mass., for Thomson and Frost, 
Inc."
119,Opinion by: TAURO
127,"Counsel:  [**1]  Louis Orenbuch, Wolf, Greenfield & Sacks, Boston, Mass., for plaintiff."
128,Opinion by: MAZZONE
146,"Counsel:  [**1]  Duane R. Batista, Nutter, McClennen & Fish, Boston, Mass., for plaintiff. 
Gary G. Nicolosi, Thomas W. Gleason, New York City, Joseph T. Doyle, Condon & Doyle, Boston, Mass., for 
defendants."
146,Opinion by: SKINNER
153,"Counsel:  [**1]  Donald B. Gould, Goodwin, Proctor & Hoar, Boston, Mass., for plaintiffs. 
James D. St. Clair, Robert W. Mahoney, Hale & Dorr, Boston, Mass., for N. E. Toyota. 
James F. McHugh, John J. Curtin, Jr., Bingham, Dana & Gould, Boston, Mass., for Toyota Motor Sales, U.S.A., Inc. 
Allen Kezsbom, Steven Glickstein, Kaye, Scholer, Fierman, Hays & Handler, New York City, for New England 
Toyota."
153,Opinion by: GARRITYMcNAUGHT
