­¶½X,¤º®e
164,"Counsel:  [**1]  Rosenberg, Baker & Fine, David Rosenberg, Cambridge, Mass., Lawrence H. Tribe, Cambridge, 
Mass., for plaintiff. 
Gerald Caruso, Thomas Miller, John E. Bowman, Jr., Asst. Attys. Gen., Boston, Mass., for defendants. 
Michael C. Costello, David B. O'Connor, Legal Counsel, Cambridge, Mass., for Cambridge License Commission 
and Davenport and Cremins."
164,Opinion by: TAURO
175,"Counsel:  [**1]  Frank Licht, Richard A. Licht, Letts, Quinn & Licht, and Leonard DeCof, Providence, R.I., for the 
plaintiffs. 
Edward F. Hindle, Joseph Cavanagh, Jr., Edwards & Angell, Providence, R.I., Daniel C. Kaufman, King & Ballow, 
Nashville, Tenn., for defendants."
175,Opinion by: BOYLE
186,"Counsel:  [*1]  JAMES T. GRADY, Grady & McDonald, 75 Federal St., Boston, 02110, for plaintiffs.  
N.E. GREYHOUND ASSOC., Albert L. Goldman, 44 School St., Boston, Mass.  
Massasoit Greyhound Ass., Inc., Robert D. Kozol, Esq., FRIEDMAN & ATHERTON, 28 State Street, Boston, 02108 
N.E. GREYHOUND ASSOC, Anthony J. Turco, 460 Totten Pond Rd, Waltham, Mass. 02154 
George F. Gormley co-counsel, Ten Post Office Sq., Boston, Mass. 02109, for defendants."
186,Opinion by: ZOBEL
193,"Counsel:  [*1]  Donald B. Gould, Esq. (Lorraine), Goodwin, Procter & Hoar, 28 State Street, Boston, 02109, for 
plaintiffs."
194,Opinion by: SKINNER
206,"Counsel:  [*1]  Donald E. Dobelstein, Martin D. Kahn, 735 N.E. 125th St., North Miami, Florida 33161 
Robert C. Smith, Burk, Levy & Smith, Suite 302, 1302 18th St., N.W., Washington, D.C. 20036 
Haiman Long Clein, 48 Main Street, P.O. Box 528, Old Saybrook, CT. 06475 
DEFT F. L. ROBERTS 
A. Craig Brown, Doherty, Wallace, Pillsbury & Murphy, 1387 Main St., Springfield, Ma 01103, for plaintiffs.  
Francis D. Dibble Jr., Buckley, Richardson, Ryan & Gelinas, 1500 Main St., Springfield, Ma 01115, for defendants."
206,Opinion by: FREEDMAN
217,"Counsel:  [**1]  Thomas Greene, Michael J. Flynn, William Sheridan, Thomas Hoffman, Philip Mulvey, Boston, 
Mass., for plaintiff. 
Nancy Gertner, Thomas Shapiro, Silverglate, Gertner & Shapiro, Boston, Mass., for defendants."
217,Opinion by: GARRITY
233,"Counsel:  [**1]  Donald B. Gould, Esq., (Lorraine Goodwin, Procter & Hoar, Boston, for plaintiff.
 Pacific Scientific Corporation, John A. Nadas, Esq., Choate, Hall & Stewart, Boston, Pacific Scientific Corporation, 
Joseph J. O'Malley, Paul, Hastings, Janofsky & Walker, Los Angeles, California, Itt Grinnell, Bingham, Dana, Gould, 
John Curtin, Boston, for defendant."
233,"Judges: Skinner, D.J."
233,Opinion by: SKINNER
241,"Counsel:  [**1]  Edelmiro Salas Garcia, Esq., Hato Rey, Puerto Rico, for Plaintiffs.
Leopoldo J. Cabassa, Esq., Fiddler, Gonzalez & Rodriguez, San Juan, Puerto Rico, for Defendants."
241,Judges:  Gierbolini
241,Opinion by: GIERBOLINI
263,"Counsel:  [**1]  Gael Mahony, Hill & Barlow, Boston, Massachusetts, Thomas J. Dacey, esq., for Plaintiff.
 Hoosier Racing Tire & B. Summers, John Hally, Esq. & Wm. Baker, esq., Nutter, McClennen, & Fish, Boston, 
Massachusetts, For All Defendants."
263,"Judges: Caffrey, Ch. J."
263,Opinion by: CAFFREY
279,"Counsel:  [**1]  Earle C. Cooley, Esq., Hale & Dorr, Boston, Massachusetts, for Plaintiff.
R. Robert Popeo, Esq., Mintz, Levin, Cohn, Ferris, Glovsky & Popeo, Boston, Massachusetts, for Defendant."
279,"Judges: Skinner, J."
279,Opinion by: SKINNER
287,"Counsel:  [*1]  Robert Testa and Ralph J. Gonnella, Providence, R.I., for plaintiff 
Robert W. Lovegreen and Robert C. Burns, Providence, R.I., for defendant"
287,Opinion by: PETTINE
303,"Counsel:  [**1]  Celso E. Lopez, San Sebastian, Puerto Rico, and Carlos F. Lopex, Santurce, Puerto Rico, for 
plaintiff.
Alfredo Castro Mesa, Caparra Heights, Puerto Rico, for Prentals, Inc. d/b/a Nat. Car Rental.
Manuel A. Guzman, McConnell, Valdes, Kelley, Sifre Griggs & Ruiz-Suria, San Juan, Puerto Rico, for Avis Rental 
Car Corp.
Salvador Antonetti, Fiddler, Gonzalez & Rodriguez, San Juan, Puerto Rico, and Arthur H. Kahn, Schnader, 
Harrison, Segal & Lewis, Philadelphia, Pennsylvania, for Hertz Rental Co.
Alan S. Ward and Jeffrey S. Holik, Baker & Hostetler, Washington, District of Columbia, for Avis."
303,"Judges: Pieras, District Judge."
303,Opinion by: PIERAS
