opinion_Appeal-2,,
頁碼,內容類型,內容
224,Counsel,"Counsel: Benjamin J. Goodman and Sanford M. Ehrmann for Plaintiff and Appellant.
Iverson, Yoakum, Papiano & Hatch, Neil Papiano and Donald M. Robbins for Defendant and Respondent."
224,Judges,"Judges: Opinion by Fleming, J., with Roth, P. J., and Compton, J., concurring."
224,Opinion by,Opinion by: FLEMING
236,Counsel,"Counsel: Hafif & Shernoff and Alton H. Saxer for Plaintiff and Appellant.
McKenna & Fitting, Aaron M. Peck, Michael D. Berk and Michael R. Grzanka for Defendants and Respondents."
236,Judges,"Judges: Before Tamura, Acting P. J., Kaufman, J. and McDaniel, J."
236,Opinion by,Opinion by: THE COURT
253,Counsel,"Counsel: Carr, Smulyan & Hartman and George M. Carr for Plaintiff and Appellant.
Knox, Ricksen, Snook, Anthony & Robbins and Thomas A. Palmer for Defendant and Respondent."
253,Judges,"Judges: Opinion by Kane, J., with Taylor, P. J., and Rouse, J., concurring."
253,Opinion by,Opinion by: KANE
259,Counsel,"Counsel: David S. Sperber for Plaintiff and Appellant.  
Vletas & Greer and Barry E. Shanley for Defendant and Respondent."
259,Opinion by,Opinion by: LILLIE
266,Counsel,"Counsel: Evelle J. Younger, Attorney General, Warren J. Abbott, Robert H. O'Brien, Assistant Attorneys General, 
and Linda L. Tedeschi, Deputy Attorney General, for Plaintiff and Appellant.  
Manatt, Phelps, Rothenberg, Manley & Tunney, Alan I. Rothenberg, Julia J. Rider, McCutchen, Black, Verleger & 
Shea, Jack D. Fudge, Michael L. Hickok and Robert L. Norris for Defendants and Respondents.  
147 Cal. Rptr. 410, *410; 1978 Cal. App. LEXIS 1712, **1"
267,Opinion by,Opinion by: LILLIE
281,Counsel,"Counsel: W. Mike McCray for Plaintiff and Appellant.
R. Michael Harding, Haight, Dickson, Brown & Bonesteel and Roy G. Weatherup for Defendants and Respondents."
281,Judges,"Judges: Opinion by McDaniel, J., with Gardner, P. J., and Kaufman, J., concurring."
281,Opinion by,Opinion by: McDANIEL
291,Counsel,"Counsel: Joseph Freitas, Jr., District Attorney, Judith D. Ford, Raymond T. Bonner, David C. Moon, Gary G. 
Devine and Maria P. Rivera, Assistant District Attorneys, for Plaintiffs and Appellants.
Harry M. Snyder and Luana Martilla as Amici Curiae on behalf of Plaintiffs and Appellants.
Richard A. Elbrecht, Steven M. Fleisher and A. Paul Griebel for Intervener and Appellant.
George Agnost, City Attorney, and Edmund A. Bacigalupi, Deputy City Attorney, for Defendants and Respondents."
291,Judges,"Judges: Opinion by Rouse, J., with Taylor, P. J., and Kane, J., concurring."
291,Opinion by,Opinion by: ROUSE
305,Counsel,"Counsel: de Krassel, Tierney & Cohen and Timothy T. Tierney for Defendants and Appellants.
Edwin L. Miller, Jr., District Attorney, Peter C. Lehman, Charles R.  Hayes, Robert C. Fellmeth and John R. Heisner, 
Deputy District Attorneys, for Plaintiff and Respondent."
305,Judges,"Judges: Opinion by Staniforth, J., with Brown (Gerald), P. J., and Cologne, J., concurring."
305,Opinion by,Opinion by: STANIFORTH
315,Counsel,"Counsel: Carr, Smulyan & Hartman and Yale H. Smulyan for Plaintiff and Appellant.  
Gendel, Raskoff, Shapiro & Quittner and Palmer, Grundstrom & Duckworth for Defendants and Respondents."
315,Opinion by,Opinion by: CALHOUN
324,Counsel,"Counsel: Frederick P. Furth, Thomas R. Fahrner, Richard S. E. Johns, Michael P. Lehmann, Furth, Fahrner & 
Wong, for defendant, Cross-complainant and Appellant.  
Godfrey L. Munter, Jr., Robert W. Martin, Martin, Munter & Keegin, for Plaintiff, Cross-defendant and Respondent."
324,Opinion by,Opinion by: BRUNN
338,Counsel,"Counsel: Frederick P. Furth, Thomas R. Fahrner, Richard S. E. Johns, Michael P. Lehmann, Furth, Fahrner & 
Wong and Furth, Fahrner, Bluemle, Mason & Wong for Defendant, Cross-complainant and Appellant.
Godfrey L. Munter, Jr., John A. Hinman, Robert W. Martin, Martin, Munter & Keegin and Martin & Munter for 
Plaintiff, Cross-defendant and Respondent."
338,Judges,"Judges: Opinion by Brunn, J., * with Rattigan, Acting P. J., concurring.  Separate dissenting opinion by Christian, J."
338,Opinion by,Opinion by: BRUNN
354,Counsel,"Counsel: Carr, Smulyan & Hartman and Yale H. Smulyan for Plaintiff and Appellant.
Gendel, Raskoff, Shapiro & Quittner, Richard I. Berger, Frank C. Christl, Palmer, Grundstrom & Duckworth and 
Bruce M. Palmer for Defendants and Respondents."
354,Judges,"Judges: Opinion by Calhoun, J., * with Taylor, P. J., and Miller, J., concurring."
354,Opinion by,Opinion by: CALHOUN
368,Counsel,"Counsel: George Deukmejian, Attorney General, Arthur C. de Goede, Assistant Attorney General, and Susan E. 
Henrichsen, Deputy Attorney General, for Defendants and Appellants.
Adams, Duque & Hazeltine, John H. Brinsley, Jeffrey P. Smith, Bell, Boyd, Lloyd, Haddad & Burns, John C. 
Christie, Jr., James I. Serota, Lucinda O.  McConathy, Orrick, Herrington, Rowley & Sutcliffe, James H. Benney, 
John F.  Seegal, Levinson & Lieberman, Burton S. Levinson, Lawrence R. Lieberman and Christopher J. Tesar as 
Amici Curiae on behalf of Defendants and Appellants.
Tuohey, Barton & McDermott, Conrad G. Tuohey, Gibson, Dunn & Crutcher, John J. Hanson, Robert H. Fairbank 
and Stanley M. Gordon for Plaintiffs and Respondents."
368,Judges,"Judges: Opinion by Jefferson (Bernard), J., with Files, P. J., and Kingsley, J., concurring."
368,Opinion by,"Opinion by: JEFFERSON 
102 Cal. App. 3d 381, *381; 162 Cal. Rptr. 487, **487; 1980 Cal. App. LEXIS 1496, ***1"
