Page,Label,Text
5,1," 38 Stat. 719, as amended, 15 U. S. C. § 45 (a)(6) (1964 ed.)."
6,2," In its opinion the Commission found that the services 
provided by Brown in its franchise program were the ""prime 
motivation"" for dealers to join and remain in the program; that 
the program resulted in franchised stores purchasing 75% of 
their total shoe requirements from Brown -- the remainder 
being for the most part shoes which were not ""conflicting"" 
lines, as provided by the agreement; that the effect of the plan 
was to foreclose retail outlets to Brown's competitors, 
particularly small manufacturers; and that enforcement of the 
plan was effected by teams of field men who called upon the 
shoe stores, urged the elimination of other manufacturers' 
conflicting lines and reported deviations to Brown who then 
cancelled under a provision of the agreement.  Compare 
Brown Shoe Co. v.  United States, 370 U.S. 294."
6,," Section 5 (a)(1) of the Federal Trade Commission Act 
provides that HN2[
] ""Unfair methods of competition in 
commerce, and unfair or deceptive acts or practices in 
commerce, are declared unlawful.""
"
7,5," Section 1 of the Sherman Act, 26 Stat. 209, 15 U. S. C. § 1 
(1964 ed.), declares illegal ""Every contract, combination in the 
form of trust or otherwise, or conspiracy, in restraint of trade or 
commerce among the several States, or with foreign nations . . 
. ."" Section 3 of the Clayton Act, 38 Stat. 731, 15 U. S. C. § 14 
(1964 ed.), provides in relevant part:
 ""It shall be unlawful for any person engaged in commerce . . . 
to . . . make a . . . contract for sale of goods . . . for . . . resale 
within the United States . . . on the condition, agreement, or 
understanding that the . . . purchaser thereof shall not use or 
deal in the goods . . . of a competitor or competitors of the . . . 
seller, where the effect of such . . . condition, agreement, or 
understanding may be to substantially lessen competition or 
tend to create a monopoly in any line of commerce.""
"
7,6," See cases cited in note 4, supra."
7,3," See, e. g.,  Federal Trade Comm'n v. R. F. Keppel & Bro., 
Inc., 291 U.S. 304, 310;  Trade Comm'n v. Cement Institute, 
333 U.S. 683, 693; Atlantic Rfg. Co. v.  FTC, 381 U.S. 357, 
367."
7,4," See, e. g.,  Fashion Guild v. Trade Comm'n, 312 U.S. 457, 
463; Atlantic Rfg. Co. v.  FTC, 381 U.S. 357, 369."
