頁碼,內容類型,內容
7,Counsel,"Counsel: Andrew J. Pincus argued the cause for 
petitioners. 
Thomas G. Hungar argued the cause for the United 
States, as amicus curiae, by special leave of court. 
Kathleen M. Sullivan argued the cause for respondent."
7,Judges,"Judges: Stevens, J., delivered the opinion of the Court, 
in which all other Members joined, except Alito, J., who 
took no part in the consideration or decision of the case."
7,Opinion by,"Opinion by: STEVENS
547 U.S. 28, *28; 126 S. Ct. 1281, **1281; 164 L. Ed. 2d 26, ***30; 2006 U.S. LEXIS 2024, ****1; 77 U.S.P.Q.2D 
(BNA) 1801, *****1801"
