頁碼,內容類型,內容
11,Counsel,"Counsel: Richard G. Taranto argued the cause for 
petitioner. 
Theodore B. Olson argued the cause for the United 
States, as amicus curiae, by special leave of court. 
Donald B. Verrilli, Jr. argued the cause for respondent."
11,Judges,"Judges: Scalia, J., delivered the opinion of the Court, in 
which Rehnquist, C. J., and O'Connor, Kennedy, 
Ginsburg, and Breyer, JJ., joined. Stevens, J., filed an 
opinion concurring in the judgment, in which Souter and 
Thomas, JJ., joined."
11,Opinion by,Opinion by: SCALIA
