頁碼,內容類型,內容
7,Counsel,"Counsel: Glenn E. Miller argued the cause for 
petitioners.  With him on the briefs were Lawrence A. 
Sullivan and Jesse Choper.  
M. Laurence Popofsky argued the cause for respondent.  
With him [****4]  on the brief were Richard L. Goff and 
Stephen V. Bomse.  *"
7,Judges,"Judges: BURGER, BRENNAN, STEWART, WHITE, 
MARSHALL, BLACKMUN, POWELL, STEVENS"
7,Opinion by,"Opinion by: POWELL 
* Briefs of amici curiae urging affirmance were filed by 
Lawrence T. Zimmerman for the Associated Equipment 
Distributors; by Lloyd N. Cutler, James S. Campbell, William T. 
Lake, and Donald F. Turner for the Motor Vehicle 
Manufacturers Assn.; and by Philip F. Zeidman and John A. 
Dienelt for the International Franchise Assn."
