頁碼,內容類型,內容
9,Counsel,"Counsel: Lee Loevinger argued the cause for 
petitioner.  With him on the briefs was Martin 
Michaelson.  
Howard E. Shapiro argued the cause for the United 
States.  With him on the brief were Solicitor General 
McCree, Assistant Attorney General Shenefield, and 
Robert B. Nicholson."
9,Judges,"Judges: STEVENS, J., delivered the opinion of the 
Court, in which STEWART, WHITE, MARSHALL, and 
POWELL, JJ., joined, and in Parts I and III of which 
BLACKMUN and REHNQUIST, JJ., joined.  
BLACKMUN, J., filed an opinion concurring in part and 
concurring in [****5]  the judgment, in which 
REHNQUIST, J., joined, post, p. 699.  BURGER, C. J., 
filed an opinion concurring in part and dissenting in part, 
post, p. 701.  BRENNAN, J., took no part in the 
consideration or decision of the case."
9,Opinion by,Opinion by: STEVENS
