頁碼,內容類型,內容
5,Counsel,"Counsel: Richard M. Cooper argued the cause for 
petitioner.  With him on the briefs were Edward Bennett 
Williams, Harold Ungar, David G. Palmer, and William 
W. Maywhort.
Tucker K. Trautman argued the cause for respondent.  
With him on the brief were John H. Evans, Owen C. 
Rouse, and John H. Shenefield. *"
5,Judges,"Judges: STEVENS, J., delivered the opinion of the 
Court, in which all other Members joined, except 
WHITE, J., who took no part in the decision of the case.  
* Robert E. Cooper and Theodore B. Olson filed a brief for 
American Airlines, Inc., as amicus curiae urging reversal.
472 U.S. 585, *585; 105 S. Ct. 2847, **2847; 86 L. Ed. 2d 467, ***467; 1985 U.S. LEXIS 115, ****1"
5,Opinion by,Opinion by: STEVENS
