頁碼,內容類型,內容
5,Counsel,"Counsel: Ralph S. Spritzer argued the cause for 
petitioner.  On the brief were Solicitor General Marshall, 
Assistant Attorney General Turner, Robert S. Rifkind, 
Howard E. Shapiro, Milton J. Grossman, James McI. 
Henderson, Thomas F. Howder and Gerald J. Thain.
Robert H. McRoberts argued the cause for respondent.  
With him on the brief were Gaylord C. Burke and Edwin 
S. Taylor."
5,Judges,"Judges: Warren, Black, Douglas, Clark, Harlan, 
Brennan, Stewart, White, Fortas"
5,Opinion by,Opinion by: BLACK
