Category,Content
Headnotes,"APPEAL, §1662  >  expiration of extension of time -- moot"
Headnotes,case. --   > Headnote:
LEdHN[1],"INJUNCTION, §142  >  consent decree under Sherman Act --"
LEdHN[1],grounds for modification. --   > Headnote:
LEdHN[2],"INJUNCTION, §142  >  modification of decree under"
LEdHN[2],Sherman Act -- illegality of acts prohibited. --   > Headnote:
LEdHN[3],"JUDGMENT, §141  >  modification of consent decree under"
LEdHN[3],Sherman Act -- effect. --   > Headnote:
LEdHN[4],"INJUNCTION, §142  >  modification of decree under"
LEdHN[4],> Headnote:
LEdHN[5],"JUDGMENT, §95  >  consent decree under Sherman Act --"
LEdHN[5],effect. --   > Headnote:
